Date,Open,High,Low,Close,Adj Close,Volume
16/3/2018,24877.33984,25031,24857.08984,24946.50977,24946.50977,654240000
19/3/2018,24893.68945,24893.68945,24453.14063,24610.91016,24610.91016,377990000
20/3/2018,24650.64063,24803.60938,24650.64063,24727.26953,24727.26953,342510000
21/3/2018,24723.49023,24977.65039,24655.40039,24682.31055,24682.31055,343230000
22/3/2018,24526.00977,24526.00977,23938.74023,23957.89063,23957.89063,439280000
23/3/2018,23995.17969,24108.4707,23509.06055,23533.19922,23533.19922,482550000
26/3/2018,23825.74023,24232.30078,23741.2207,24202.59961,24202.59961,479540000
27/3/2018,24276.61914,24446.2207,23708.73047,23857.71094,23857.71094,524480000
28/3/2018,23883.08008,24092.4707,23728.66992,23848.41992,23848.41992,530040000
29/3/2018,23949.17969,24314.30078,23928.13086,24103.10938,24103.10938,463550000
2/4/2018,24076.59961,24123.80078,23344.51953,23644.18945,23644.18945,509820000
3/4/2018,23698.33008,24044.34961,23664.33008,24033.35938,24033.35938,394130000
4/4/2018,23654.15039,24308.96094,23523.16016,24264.30078,24264.30078,388540000
5/4/2018,24313.91016,24622.25977,24313.91016,24505.2207,24505.2207,347790000
6/4/2018,24373.59961,24434.40039,23738.19922,23932.75977,23932.75977,395990000
9/4/2018,24037.51953,24373.17969,23954.83008,23979.09961,23979.09961,380790000
10/4/2018,24198.94922,24511.34961,24198.94922,24408,24408,368590000
11/4/2018,24274.18945,24366.57031,24150.86914,24189.44922,24189.44922,286360000
12/4/2018,24302.82031,24592.11914,24302.82031,24483.05078,24483.05078,336130000
13/4/2018,24582.82031,24646.44922,24243.74023,24360.14063,24360.14063,331890000
16/4/2018,24483.15039,24675.35938,24480.19922,24573.03906,24573.03906,305070000
17/4/2018,24681.78906,24858.9707,24681.78906,24786.63086,24786.63086,342410000
18/4/2018,24820.84961,24832.53906,24721.08984,24748.07031,24748.07031,302030000
19/4/2018,24711.30078,24762.48047,24557.0293,24664.89063,24664.89063,381110000
20/4/2018,24657.39063,24678.07031,24375.03906,24462.93945,24462.93945,537770000
23/4/2018,24488.07031,24536.89063,24328.53906,24448.68945,24448.68945,351030000
24/4/2018,24579.93945,24579.93945,23828.73047,24024.13086,24024.13086,468180000
25/4/2018,24070.19922,24146.33984,23823.08008,24083.83008,24083.83008,437100000
26/4/2018,24128.7207,24402.46094,24128.7207,24322.33984,24322.33984,390360000
27/4/2018,24342.14063,24359.38086,24194.44922,24311.18945,24311.18945,392810000
30/4/2018,24410.41016,24498.23047,24163.08008,24163.15039,24163.15039,416650000
1/5/2018,24117.28906,24117.28906,23808.18945,24099.05078,24099.05078,380070000
2/5/2018,24097.63086,24185.51953,23886.30078,23924.98047,23924.98047,385350000
3/5/2018,23836.23047,23996.15039,23531.31055,23930.15039,23930.15039,389240000
4/5/2018,23865.2207,24333.34961,23778.86914,24262.50977,24262.50977,329480000
7/5/2018,24317.66016,24479.44922,24263.41992,24357.32031,24357.32031,307670000
8/5/2018,24341.34961,24412.33984,24198.33984,24360.21094,24360.21094,344940000
9/5/2018,24399.17969,24586.48047,24323.86914,24542.53906,24542.53906,361580000
10/5/2018,24591.66016,24794.99023,24575.91016,24739.5293,24739.5293,304210000
11/5/2018,24758.64063,24868.65039,24717.5,24831.16992,24831.16992,274150000
14/5/2018,24879.36914,24994.18945,24862.51953,24899.41016,24899.41016,282860000
15/5/2018,24809.55078,24809.55078,24629.39063,24706.41016,24706.41016,301900000
16/5/2018,24722.32031,24801.18945,24672.78906,24768.92969,24768.92969,280810000
17/5/2018,24752.40039,24839.49023,24639.40039,24713.98047,24713.98047,314650000
18/5/2018,24707.7207,24774.9707,24664.86914,24715.08984,24715.08984,269700000
21/5/2018,24883.06055,25086.49023,24883.06055,25013.28906,25013.28906,308920000
22/5/2018,25047.55078,25064.99023,24812.06055,24834.41016,24834.41016,288200000
23/5/2018,24757.71094,24889.46094,24667.11914,24886.81055,24886.81055,399610000
24/5/2018,24877.35938,24877.35938,24605.90039,24811.75977,24811.75977,347050000
25/5/2018,24781.28906,24824.2207,24687.81055,24753.08984,24753.08984,257210000
29/5/2018,24606.58984,24635.17969,24247.83984,24361.44922,24361.44922,395810000
30/5/2018,24467.83008,24714.48047,24459.08984,24667.7793,24667.7793,324870000
31/5/2018,24620.78906,24620.78906,24352.15039,24415.83984,24415.83984,429740000
1/6/2018,24542.08984,24673.59961,24542.08984,24635.21094,24635.21094,315710000
4/6/2018,24727.55078,24859.36914,24722.14063,24813.68945,24813.68945,340400000
5/6/2018,24820.11914,24838.7793,24710.82031,24799.98047,24799.98047,306340000
6/6/2018,24854.14063,25146.46094,24854.14063,25146.39063,25146.39063,316090000
7/6/2018,25192.14063,25326.08984,25164.48047,25241.41016,25241.41016,357680000
8/6/2018,25209.28906,25325.63086,25165.69922,25316.5293,25316.5293,317510000
11/6/2018,25336.66992,25402.83008,25290.19922,25322.31055,25322.31055,276740000
12/6/2018,25346.82031,25364.36914,25247.03906,25320.73047,25320.73047,265750000
13/6/2018,25328.65039,25362.07031,25191.41992,25201.19922,25201.19922,329700000
14/6/2018,25254.65039,25332.5,25138.59961,25175.31055,25175.31055,341170000
15/6/2018,25116.71094,25130.82031,24894.38086,25090.48047,25090.48047,659370000
18/6/2018,24944.2793,25003.09961,24825.76953,24987.4707,24987.4707,337070000
19/6/2018,24763.58984,24763.58984,24567.75,24700.21094,24700.21094,376380000
20/6/2018,24771.16992,24804.75977,24628.39063,24657.80078,24657.80078,359520000
21/6/2018,24639.21094,24639.21094,24406.63086,24461.69922,24461.69922,349570000
22/6/2018,24526.9707,24663.17969,24526.9707,24580.89063,24580.89063,473970000
25/6/2018,24463.73047,24463.73047,24084.39063,24252.80078,24252.80078,439130000
26/6/2018,24281.89063,24384.21094,24241.2207,24283.10938,24283.10938,301130000
